class_cnt,hypot_acc_emb_dist,hypot_f1_emb_dist,hypot_acc_conf_mat,hypot_f1_conf_mat,hypot_acc_purity_impr,hypot_f1_purity_impr
194.0,0.8303471444568868,0.5539608499889792,0.8303471444568868,0.5539608499889792,0.8303471444568868,0.5539608499889792
193.0,0.8303471444568868,0.5565288718796723,0.8303471444568868,0.5516668294389515,0.8303471444568868,0.5526860486030736
192.0,0.8303471444568868,0.5542362782877194,0.8303471444568868,0.5545400973525164,0.8303471444568868,0.5513979672828838
191.0,0.8303471444568868,0.5571380420985912,0.8305337812616648,0.5575978349690364,0.8303471444568868,0.5541640493381182
190.0,0.8303471444568868,0.556937532230205,0.8305337812616648,0.5602255464624607,0.8305337812616648,0.5570897227293871
189.0,0.8305337812616648,0.5569853633713162,0.8305337812616648,0.5631753474282105,0.8305337812616648,0.5594946241906725
188.0,0.841545352743561,0.5599794468045329,0.8305337812616648,0.5660676320443038,0.8305337812616648,0.5621603793950669
187.0,0.8417319895483389,0.5629784055058498,0.8305337812616648,0.5690774183059065,0.8305337812616648,0.5617500759525715
186.0,0.8419186263531169,0.5656640549161616,0.8305337812616648,0.5720285471867572,0.8307204180664427,0.5606410180445749
185.0,0.8419186263531169,0.5686126851273751,0.8309070548712206,0.5752314769772002,0.8309070548712206,0.5614589129434231
184.0,0.8421052631578947,0.5725923020867878,0.8310936916759986,0.5783738415119947,0.8310936916759986,0.5593489542328561
183.0,0.8421052631578947,0.5742640372781939,0.8310936916759986,0.5806236142578591,0.8310936916759986,0.5604663647701388
182.0,0.8421052631578947,0.5774193373935863,0.8310936916759986,0.5835086075786938,0.8310936916759986,0.5627746957892031
181.0,0.8421052631578947,0.5787678959969758,0.8310936916759986,0.5828791907694912,0.8325867861142218,0.5629988308265763
180.0,0.8471444568868981,0.5803905258758345,0.8310936916759986,0.5823890828991122,0.8325867861142218,0.5628461897816034
179.0,0.8471444568868981,0.583632934230028,0.8310936916759986,0.5854984864060123,0.8325867861142218,0.5659734826375229
178.0,0.8475177304964538,0.5870270148874649,0.8312803284807764,0.5887924431912007,0.8325867861142218,0.5648928160147939
177.0,0.8475177304964538,0.5902338009584752,0.8329600597237775,0.5913885121136055,0.8365061590145577,0.5654913261772667
